2023-07-06 20:54:52.755 +05 [7844] СООБЩЕНИЕ:  начата контрольная точка: time
2023-07-06 20:54:52.862 +05 [7844] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.100 сек., синхр.=0.002 сек., всего=0.108 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=8 kB, ожидалось=14 kB
2023-07-06 21:04:52.891 +05 [7844] СООБЩЕНИЕ:  начата контрольная точка: time
2023-07-06 21:04:53.005 +05 [7844] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 1 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.104 сек., синхр.=0.004 сек., всего=0.115 сек.; синхронизировано_файлов=1, самая_долгая_синхр.=0.003 сек., средняя=0.003 сек.; расстояние=7 kB, ожидалось=14 kB
2023-07-07 09:51:27.509 +05 [14964] РћРЁРР‘РљРђ:  СЃС‚РѕР»Р±РµС† "tag" РЅРµ СЃСѓС‰РµСЃС‚РІСѓРµС‚ (СЃРёРјРІРѕР» 12)
2023-07-07 09:51:27.509 +05 [14964] РћРџР•Р РђРўРћР :  SELECT id, tag, name FROM "vs" ORDER BY id
2023-07-07 09:52:36.602 +05 [14964] РћРЁРР‘РљРђ:  СЃС‚РѕР»Р±РµС† "tag" РЅРµ СЃСѓС‰РµСЃС‚РІСѓРµС‚ (СЃРёРјРІРѕР» 12)
2023-07-07 09:52:36.602 +05 [14964] РћРџР•Р РђРўРћР :  SELECT id, tag, name FROM "vs" ORDER BY id
2023-07-07 09:52:39.730 +05 [14964] РћРЁРР‘РљРђ:  СЃС‚РѕР»Р±РµС† "tag" РЅРµ СЃСѓС‰РµСЃС‚РІСѓРµС‚ (СЃРёРјРІРѕР» 12)
2023-07-07 09:52:39.730 +05 [14964] РћРџР•Р РђРўРћР :  SELECT id, tag, name FROM "vs" ORDER BY id
2023-07-07 09:52:40.746 +05 [14964] РћРЁРР‘РљРђ:  СЃС‚РѕР»Р±РµС† "tag" РЅРµ СЃСѓС‰РµСЃС‚РІСѓРµС‚ (СЃРёРјРІРѕР» 12)
2023-07-07 09:52:40.746 +05 [14964] РћРџР•Р РђРўРћР :  SELECT id, tag, name FROM "vs" ORDER BY id
2023-07-07 09:52:41.338 +05 [14964] РћРЁРР‘РљРђ:  СЃС‚РѕР»Р±РµС† "tag" РЅРµ СЃСѓС‰РµСЃС‚РІСѓРµС‚ (СЃРёРјРІРѕР» 12)
2023-07-07 09:52:41.338 +05 [14964] РћРџР•Р РђРўРћР :  SELECT id, tag, name FROM "vs" ORDER BY id
2023-07-07 09:53:28.123 +05 [7844] СООБЩЕНИЕ:  начата контрольная точка: time
