2023-08-08 10:19:34.084 +05 [7528] СООБЩЕНИЕ:  начата контрольная точка: time
2023-08-08 10:19:43.273 +05 [7528] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 85 (0.5%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=9.164 сек., синхр.=0.016 сек., всего=9.189 сек.; синхронизировано_файлов=20, самая_долгая_синхр.=0.004 сек., средняя=0.001 сек.; расстояние=518 kB, ожидалось=4530 kB
2023-08-08 10:24:34.282 +05 [7528] СООБЩЕНИЕ:  начата контрольная точка: time
2023-08-08 10:24:39.636 +05 [7528] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 50 (0.3%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=5.331 сек., синхр.=0.016 сек., всего=5.354 сек.; синхронизировано_файлов=13, самая_долгая_синхр.=0.003 сек., средняя=0.002 сек.; расстояние=180 kB, ожидалось=4095 kB
2023-08-08 11:04:34.674 +05 [7528] СООБЩЕНИЕ:  начата контрольная точка: time
2023-08-08 11:04:38.702 +05 [7528] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 38 (0.2%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=4.009 сек., синхр.=0.011 сек., всего=4.028 сек.; синхронизировано_файлов=10, самая_долгая_синхр.=0.004 сек., средняя=0.002 сек.; расстояние=292 kB, ожидалось=3715 kB
2023-08-08 11:09:34.705 +05 [7528] СООБЩЕНИЕ:  начата контрольная точка: time
2023-08-08 11:09:42.770 +05 [7528] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 75 (0.5%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=8.046 сек., синхр.=0.012 сек., всего=8.065 сек.; синхронизировано_файлов=13, самая_долгая_синхр.=0.003 сек., средняя=0.001 сек.; расстояние=533 kB, ожидалось=3397 kB
2023-08-08 11:14:34.784 +05 [7528] СООБЩЕНИЕ:  начата контрольная точка: time
2023-08-08 11:14:36.770 +05 [7528] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 19 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=1.965 сек., синхр.=0.009 сек., всего=1.986 сек.; синхронизировано_файлов=5, самая_долгая_синхр.=0.004 сек., средняя=0.002 сек.; расстояние=104 kB, ожидалось=3068 kB
2023-08-08 11:18:47.705 +05 [11052] РћРЁРР‘РљРђ:  СЃС‚РѕР»Р±РµС† "time_ust" РЅРµ СЃСѓС‰РµСЃС‚РІСѓРµС‚ (СЃРёРјРІРѕР» 39)
2023-08-08 11:18:47.705 +05 [11052] РћРџР•Р РђРўРћР :  SELECT id, variable, tag, name, "NA", "time_ust", "group_ust", "rule_map_ust", "number_pump_VU"
	                               FROM "gmpna" ORDER BY Id, "NA" 
2023-08-08 11:19:34.784 +05 [7528] СООБЩЕНИЕ:  начата контрольная точка: time
2023-08-08 11:19:36.999 +05 [7528] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 21 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=2.197 сек., синхр.=0.010 сек., всего=2.215 сек.; синхронизировано_файлов=7, самая_долгая_синхр.=0.004 сек., средняя=0.002 сек.; расстояние=117 kB, ожидалось=2773 kB
2023-08-08 11:24:35.013 +05 [7528] СООБЩЕНИЕ:  начата контрольная точка: time
2023-08-08 11:24:35.237 +05 [7528] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 3 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.212 сек., синхр.=0.006 сек., всего=0.225 сек.; синхронизировано_файлов=3, самая_долгая_синхр.=0.004 сек., средняя=0.002 сек.; расстояние=7 kB, ожидалось=2496 kB
