2023-07-14 13:36:34.989 +05 [8968] СООБЩЕНИЕ:  система БД была выключена: 2023-07-14 13:36:12 +05
2023-07-14 13:41:34.938 +05 [8948] СООБЩЕНИЕ:  начата контрольная точка: time
2023-07-14 13:41:34.961 +05 [8948] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 3 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.011 сек., синхр.=0.002 сек., всего=0.026 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.002 сек., средняя=0.001 сек.; расстояние=0 kB, ожидалось=0 kB
2023-07-14 15:13:16.462 +05 [10520] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2023-07-14 15:33:04.986 +05 [3920] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2023-07-17 11:06:52.945 +05 [8948] СООБЩЕНИЕ:  начата контрольная точка: time
2023-07-17 11:06:53.075 +05 [8948] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 1 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.112 сек., синхр.=0.004 сек., всего=0.131 сек.; синхронизировано_файлов=1, самая_долгая_синхр.=0.003 сек., средняя=0.003 сек.; расстояние=1 kB, ожидалось=1 kB
2023-07-17 11:21:52.102 +05 [8948] СООБЩЕНИЕ:  начата контрольная точка: time
2023-07-17 11:21:58.262 +05 [8948] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 57 (0.3%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=6.130 сек., синхр.=0.022 сек., всего=6.160 сек.; синхронизировано_файлов=24, самая_долгая_синхр.=0.003 сек., средняя=0.001 сек.; расстояние=297 kB, ожидалось=297 kB
2023-07-17 11:24:29.304 +05 [12864] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2023-07-17 11:25:36.205 +05 [15184] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2023-07-17 13:15:26.142 +05 [9656] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2023-07-17 13:15:26.143 +05 [6672] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2023-07-17 13:32:27.253 +05 [7864] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2023-07-17 13:33:39.056 +05 [4292] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2023-07-17 13:33:46.000 +05 [4976] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2023-07-17 14:06:37.271 +05 [14428] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2023-07-17 15:48:31.690 +05 [8948] СООБЩЕНИЕ:  начата контрольная точка: time
